Circuit,Initial time,Schedule time,Transfer time,Simulation time,Power consumption,Energy consumption,Tableau partitions,Tableau memory,Tableau step speed,Circuit memory,Average of parallel gates,Clifford gates
Circuit,Initial time,Schedule time,Transfer time,Simulation time,Power consumption,Energy consumption,Tableau partitions,Tableau memory,Tableau step speed,Circuit memory,Average of parallel gates,Clifford gates
Circuit,Initial time,Schedule time,Transfer time,Simulation time,Power consumption,Energy consumption,Tableau partitions,Tableau memory,Tableau step speed,Circuit memory,Average of parallel gates,Clifford gates
q163000,0.06,417.49,0.00,17.00,54.81,0.93,1.00,6.19,363.98,1.56,0.00,123679.00
q164000,0.02,417.48,0.00,17.22,54.76,0.94,1.00,6.26,363.74,1.57,0.00,124444.00
q165000,0.02,421.73,0.00,17.38,55.41,0.96,1.00,6.34,365.06,1.58,0.00,125246.00
q166000,0.03,428.17,0.00,17.34,54.72,0.95,1.00,6.42,370.09,1.59,0.00,126024.00
q167000,0.03,438.73,0.00,17.51,55.20,0.97,1.00,6.50,371.08,1.60,0.00,126784.00
q168000,0.03,447.20,0.00,17.77,55.28,0.98,1.00,6.57,369.85,1.61,0.00,127563.00
q169000,0.03,453.82,0.00,17.95,54.97,0.99,1.00,6.65,370.47,1.62,0.00,128319.00
q170000,0.03,461.44,0.00,18.19,55.13,1.00,1.00,6.73,370.18,1.63,0.00,129030.00
q171000,0.03,463.53,0.00,19.41,54.84,1.06,1.00,6.81,350.70,1.64,0.00,129770.00
q172000,0.06,464.03,0.00,21.47,56.12,1.21,1.00,6.89,320.90,1.65,0.00,130524.00
q173000,0.06,476.39,0.00,19.81,55.43,1.10,1.00,6.97,351.97,1.66,0.00,131270.00
q174000,0.02,481.16,0.00,18.93,55.06,1.04,1.00,7.05,372.51,1.67,0.00,132064.00
q175000,0.02,491.07,0.00,19.17,56.43,1.08,1.00,7.13,372.18,1.68,0.00,132849.00
q176000,0.02,494.99,0.00,19.24,55.70,1.07,1.00,7.21,374.76,1.69,0.00,133611.00
q177000,0.03,499.79,0.00,19.42,56.39,1.10,1.00,7.30,375.69,1.70,0.00,134388.00
q178000,0.03,505.15,0.00,19.66,55.67,1.09,1.00,7.38,375.48,1.71,0.00,135170.00
q179000,0.03,505.85,0.00,19.95,56.07,1.12,1.00,7.46,374.00,1.72,0.00,135924.00
q180000,0.03,514.33,0.00,20.22,55.56,1.12,1.00,7.55,373.26,1.73,0.00,136716.00
q181000,0.02,512.08,0.00,20.45,55.63,1.14,1.00,7.63,373.23,1.74,0.00,137498.00
